Year,TractCE,"1,1,2-Trichloroethane","1,1,2,2-Tetrachloroethane","1,2-Ethanediol (Ethylene Glycol)","1,3-Butadiene","1,4-Dichlorobenzene","1,4-Dioxane (1,4-Diethyleneoxide)","2,2,4-Trimethylpentane",Acetaldehyde,Acrolein,Acrylic Acid,Acrylonitrile,Ammonia,Antimony,Arsenic,Benzene,Cadmium,Carbon Dioxide,Carbon Disulfide,Carbon Monoxide,Carbon Tetrachloride,Chlorine,Chlorobenzene,Chloroethene (vinyl chloride),Chloroform,Chromium,Cobalt,Cresols/Cresylic Acid (Isomers And Mixture),Cyanides,Dibutylphthalate,Ethyl Chloride (Chloroethane),Ethylbenzene,"Ethylene Dichloride (1,2-Dichloroethane)",Ethylene Oxide,"Ethylidene Dichloride (1,1-Dichloroethane)",Formaldehyde,Glycol Ethers,Hexane,Hexavalent Chromium,Hydrochloric Acid,Hydrogen Fluoride (Hydrofluoric Acid),Hydrogen Sulfide,Isophorone,Lead,m-Xylene,Maleic Anhydride,Manganese,Mercury,Methane,Methanol,Methyl Chloride (Chloromethane),"Methyl Chloroform (1,1,1-Trichloroethane)",Methyl Isobutyl Ketone (4-Methyl-2-Pentanone),Methyl Methacrylate,Methylene Chloride (Dichloromethane),Naphthalene,Nickel,Nitrogen Oxides,Nitrous Oxide (N2O),o-Xylene,"Particulate Matter < 10 Microns, Filterable","Particulate Matter < 2.5 Microns, Filterable","Particulate Matter, Condensable",Phenol,Phosphorus,Phthalic Anhydride,Polycyclic Organic Matter,Propionaldehyde,Propylene Oxide,Selenium,Styrene,Sulfur Oxides,Sulfuric Acid,Tetrachloroethylene (Perchloroethylene),Toluene,Trichloroethylene,"Vinylidene Chloride (1,1-Dichloroethylene)",Volatile Organic Compounds,Xylenes (Isomers And Mixture),Grand Total
2017,240600,,,,,0,,,,,,,1.55,,,0,0,58354.56,,2.33,,,,,,0,,,,,,,,,,0.04,,0.88,,,,,,0.0002,,,0,,1.12,,,,,,,0,0,37.34,1.07,,0.12,0.07,0.16,,,,,,,,,0.29,,,0,,,4.01,0,58403.5402
2017,401200,,,,,,,,,,,,2.85,,,0,0,129295,,753.79,,,,,,0.73,,,,,,,,,,0,,0.53,,,0.63,,,0.0966,,,0.77,,2.06,,,,,,,,0.47,157.09,0.18,,55.89,52.29,22.39,,,,,,,,,22.08,0,,0,,,14.29,,130381.1366
2017,407001,,,,,,,,,,,,0,,,,,0,,0.08,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,1.51,,0,,0.09,0,,0,0,,,,,,,,,2.99,0,,,0.1,,,5.4,0.08,10.25
2017,413500,,,,,,,,,,,,0.04,,,0,0,9639.91,,6.92,,,,,,0,,,,,,,,,,,,0.14,,,,,,,,,,,0.17,,,,,,,,0,4.31,0.17,,3.53,3.53,0.02,,,,,,,,,0.05,,,0,,,0.46,,9659.25
2017,415001,,,,,,,0.11,,,,,,,,0.09,,10.87,,0.01,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,0,,,,,,,,,0.01,0,,0,0,0,,,,,,,,,0,,,0.2,,,18.64,0.07,30.24
2017,417200,,,,,,,,0.72,0.08,,,138.98,0,0.03,0.52,0,3182963.41,0.04,215.11,,,0.01,,0.02,0,0,,0.69,,0.01,,0.01,,,1.01,8.3,0.31,0,2.31,1.42,,3.03,0.0226,0,,0.03,0.0048,210.11,,0.15,0.01,0.74,0.01,0.08,0.46,0.04,1220.41,29.16,,129.92,74.88,89.21,0,,,0,0.11,0.4,0.07,0.01,2003.46,45.95,,4.03,,,111.66,7.42,3187264.357
2017,419000,,,,,,,,,,,,0.41,,,0.05,,17227.39,,31.32,,,,,,0,,,,,,,,,,0,,0.14,,0.02,0.04,,,0.0028,,,0.01,,7.1,,,,,,,0,0,17.62,0.05,0,5.61,1.82,2.08,,,,,,,0,,19.87,,,0,,,1.36,0,17314.8928
2017,448000,,,,,,,,,,,,0.63,,0,0,0,25109.4,,19.6,,,,,,0.01,,,,,,,,,,0.01,,0.35,,,,,,0.0458,,,0,,1,,,,,,,0,0,22.14,0.11,,26.55,26.28,1.2,,,,,,,,,0.4,,,0,,,14.97,,25222.6958
2017,451102,,,,,,,0.42,,,,,0,,,0.41,,182.55,,0.24,,,,,,,,,,,,,,,,,,0.85,,,,,,,0.34,,,,0,,,,,,,,,0.38,0,,0.03,0.02,0,,,,0,,,,,0.19,,,0.83,,,59.15,0.07,245.48
2017,451300,,,0,,,,,,,,,0.08,,,,,3007.58,,1.96,,,,,,,,,,0,,,,,,0,,0.02,,,,,,,,,,,0.07,0,0,0.04,0.04,,0,,,2.33,0,,0.06,0.06,,0,,,,,,,0,0,,,0.1,,,13.4,0.09,3025.83
2017,452000,,,0.42,,,,,,,,,0.01,,,,,71679.95,,14.19,,,,0.54,,,,,,,,,0,,,,0.15,0.73,,1.58,,,,0.1274,,,,,19721.68,2.65,,,0.32,,1.46,0.14,,32.38,0.71,,67.17,47.52,1.27,,,,,,,,0.08,12.49,,0.73,4.32,0.06,,48.61,1.6,91640.8874
2017,456001,,,,,,,,,,,,,,,,,3903.43,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,0.24,0.24,0.19,,,,,,,,,0.03,,,,,,21.05,,3931.16
2017,458000,,,,,,,,0.27,,,,1.25,0,,0.33,0,49441.9,,220.73,,,,,,0.12,,,,,,0.15,,,,0.65,,0.69,,,,,,0.0053,,,0.16,,0.86,,,,,,,,0.07,57.32,0.08,,23.18,12.66,6.27,,,,,0.02,,,,7.77,,,0.21,,,18.62,0.04,49793.3553
2017,459201,,,,,,,,,,,,,,,,,41.96,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,0.01,0.01,,,,,,,,,,,,,,,,0.02,,43.29
2017,461000,,,0.24,0.01,,,0.3,0,0,,,7.78,,,0.72,0,48370.31,0,54.72,,,0,,,0,,,,,,0.03,,,,0.3,,1.43,,1.68,1.91,,,0.0004,0.13,0.53,,0.0001,5.06,0,,,,0.59,,0.28,0,69.65,0.62,,11.68,7.35,4.29,0,,0.92,,,,,5.89,6.55,,,1.32,,,172.12,1.69,48728.1005
2017,462100,,,,,,,,,,,,0.61,,,,,22891.53,,1.71,,,,,,,,,,,,,,,,,,0.35,,,,,,0.0001,,,,,0.43,,,,,,,,,18.88,0.04,,2.93,2.71,0.07,,,,,,,,,0.12,,,,,,1.05,,22920.4301
2017,464400,,,,,,,,,,,,0.16,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56,,,1.29,0.48,0.32,,,,,,,,,9.89,,,,,,0.65,,25.41
2017,488600,,,0.05,,,,,,,,,2.93,,,0.08,,342091.12,0.16,285.58,,0.32,,,,,,,,,,,,,,,0.09,1.17,,24.2,,,,0.0003,,,,,4.18,0,,,,,,,,452,0.64,,30.64,25.36,18.35,,,,,,,,12.97,160.78,,,0.03,,,64.2,0.01,343174.8603
2017,492700,,0.13,0.06,,,0.3,,,0.15,,,118.9,0.03,,13.37,,690729.06,15.03,2880.96,,1.25,,,,0.33,0,1.38,,,,,,,,0,0.72,0.78,,92.1,,109.14,,0.022,0,,,0.0004,12.56,32.76,2.59,,,0.34,,4.23,0.05,2600.55,2.52,0,582.21,379.14,295.5,17.27,,,0.26,,,,0.12,1129.8,,,3.18,,,183.75,0.19,699210.7324
2017,495000,,,,,,,,,,,,,,,,,22820.39,,12.05,,,,,,,,,,,,,,,,,,0.07,,0.15,,,,,,,,,349.87,,,,,,0.16,,,4.91,0.09,,1.9,1.9,0.84,,,,,,,,,1.34,,,0.48,,,2.77,0.17,23197.09
2017,496101,,,,,,,,,,,,0.52,,,,,,,0.09,,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,0.07,,,2.02,2.02,0,,,,,,,,,0.64,,,,,,26.32,,33.59
2017,499400,,,,,,,,,,,,0.01,,,,,319.2,,0.26,,,,,,,,,,,,,,,,0,,0,,0,0.02,,,,,,,,0.01,,,,,,,,,25.75,0,,0.01,0,0,,,,,,,,,0,,1.64,0.2,,,0.7,,347.8
2017,504100,,,,,,,,,,,,0.01,,,0,,,0,1.61,,0.01,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,15.3,,,,,,,,6.99,,,20.05,7.11,0.07,,,,,,,,,2.58,,,,,,15.4,,69.53
2017,512800,,,0.06,,,,,,,,,19.71,,,0.08,,3534823.82,0.09,1318.54,,0.21,,,,0.02,,,,,,,,,,,0.1,0.86,,13.64,,,,0.2004,,,1.28,0.0002,3.27,13.47,,,,,,,0.01,500.98,1.83,,132.45,62.69,78.05,1.74,0.53,,,,,,,1260.42,,,0.02,,,32.73,0.02,3538266.821
2017,521302,,,,,,,,,,,0.16,,,,,,45917.62,,0.11,,,,0.21,,,,,,,,,,,0.1,,,0.26,,1.15,,,,,,,,,1242.27,,,,,,0.56,,,1.53,0.12,,8.4,8.4,1.08,,,,,,,,,2.35,,0.28,1.66,0.17,,9.3,0.59,47196.32
2017,521500,,,,,,,,,,,,0.01,,,,,3555.71,,3.04,,,,,,,,,,,,,,,,0,,0.05,,,,,,,,,,,0.07,,,,,,1.29,,,3.04,0,,0.47,0.47,0,,,,,,,,,0.01,,,3.22,0.08,,8.35,,3575.81
2017,524000,,,,,,,,,,,,,,,,,,,1.77,,,,,,0.09,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,0.02,,,,,6.63,0.92,,1.3,0.99,,,,,,,,,,0.02,,,1.74,,,6.35,1.88,21.72
2017,526302,,,,,,,,,,,,0.06,,,,,2329.32,,1.13,,,,,,,,,,,,,,,,0.05,,0.41,,,,,,,,,,,244.84,,,,,,,,,2.46,0,,0.07,0.07,0.11,,,,,,,,,0.01,,,,,,3.11,,2581.64
2017,562700,,,,,,,,,,,,0.14,,0,0,0,33580,,23.54,,,,,,0,,,,,,,,,,0.02,,0.51,,,,,,0.0001,,,0,0.0001,0.64,,,,,,,0,0,33.23,0.06,,0.13,0.11,0.09,,,,,,,,,0.17,,,0,,,1.55,,33640.1902
2017,562900,,,,,0,,,,,,,0.63,,,0,0,23688,,6.46,,,,,,0,,,,,,,,,,0.01,,0.35,,,,,,0.0001,,,,,0.45,,,,,,,,0,26.59,0.04,,2.17,2.15,0.05,,,,,,,,,0.12,,,0,,,1.9,,23728.9201
2017,564500,,,,,,,,,,,,1.25,,,0,0,30516.3,,13.59,,0,,,,0,,,,,,,,,,0.01,,0.45,,0,,,,,,,,,0.57,,,,,,,0.06,0,38.4,0.04,,10.16,8.78,1.45,,,,,,,,7.6,0.16,,,18.78,,,129.37,0.65,30747.62
2017,980800,,,,,,,,,,,,0.45,0,,0.14,0,29070.76,,45.72,,,,,,0,,,,,,0.03,,,,1.13,,0.53,,,,,,0.0006,,,,,4.71,,,,,,,0.06,0,24.7,0.03,,5.13,2.54,1.39,,,,,,,,,1.33,,,0.02,,,11.95,0.04,29170.6606
2017,980900,0.06,,,,0.42,,,0.02,0,,,2.45,,,0.03,,41882.27,0.28,24.64,,,0.01,,0.47,,,,,,,0.01,0.01,,,0.19,,0,0,0,,11.47,,0.001,0,,0,0.003,0.78,,0,0.08,,,0.35,0.23,0,15.78,0.08,,6.6,5.65,1.98,,,,0,,0,,0.01,0.31,,0.35,0.69,0.04,,13.92,0.96,41970.144
2017,982200,,,,,,,,,,,,1.67,,0,0,0,62850.17,,6.65,,,,,,0,,,,,,,,,,0.05,,0.94,,,,,,0.0003,,,0,0.0001,1.19,,,,,,,0,0,57.8,0.12,,1,1,2.97,,,,,,,,,0.31,,,0,,,2.87,,62926.7404
2018,010300,,,0,,,0,,,,,,0.61,,,0,,7803.04,,5.05,,,,,0.02,,,,,,,,,,,0.17,,0.74,,0.01,,,,,,,,,0.04,0.16,,,,,0.14,,,16.75,0.14,,0.29,0.26,0.45,,,,,,,,,0.92,,,0.03,,,2.23,0.02,7831.07
2018,020100,,,,,,,,,,,,0.16,,,,,40703.04,,28.64,,,,,,,,,,,,,,,,,,0.62,,,,,,0.0002,,,,,0.78,,,,,,,,,68.88,0.06,,0.06,0.04,0.12,,,,,,,,,0.21,,,,,,1.87,,40804.4802
2018,040200,,,,,,,,,,,,1.7,,,0,0,68987.99,,5.71,,,,,,0,,,,,,,,,,0.06,,1.05,,0.44,0,,,0.001,,,,0.0014,1.36,0.01,,,,,,0,0,11.52,0.36,,0.25,0.19,0.17,,,,,,,,,0.55,,,0.01,,,6.17,0.01,69017.5524
2018,040900,,,,,,,,,,,,0.04,,,0,,10373.68,,7.43,,,,,,,,,,,,,,,,0,,0.15,,,,,,,,,,,0.2,,,,,,,,0,9.38,0.19,,0.04,0.02,0.03,,,,,,,,,0.05,,,0,,,1.05,,10392.26
2018,060300,,,,,,,,,,,,0.02,,,,,813,,0.57,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.68,,,0,0,0,,,,,,,,,0,,,,,,1.98,,816.26
2018,070900,,,,,,,,,,,,0.05,,,0,0,14272.53,,10.51,,,,,,0,,,,,,,,,,-0.01,,0.21,,,,,,,,,,,0.3,0,,,,,,,0,7.4,0.26,,0.03,0.03,0.03,,,,,,,,,0.09,,,0,,,0.67,,14292.1
2018,090100,,,,,,,,,,,,0.05,,,0.43,,11768.47,,36.89,,,,,,0,,0.37,,,,,,,,0,,0.85,,,,,,0.0005,,,0,,0.15,,,,,,,0.22,0,19.35,0.01,,5.57,1.79,2.92,0.41,,,,,,,,2.31,,,0.19,,,5.97,0.07,11846.0205
2018,090200,,,,,,,,,,,,0.07,,,0,,17653.83,,12.4,,,,,,0,,,,,,,,0.03,,-0.01,,0.27,,,,,,,,,,,0.34,,,,,,,,0,14.95,0.33,,0.04,0,0.04,,,,,,,,,0.1,,,0,,,0.85,,17683.24
2018,101100,,,,,,,0.12,,,,,,,,0.04,,,,0.09,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,0.11,,,,,0.01,,,,,,,,,0,,,0.14,,,23.4,0.1,24.38
2018,120800,,,,,,,,,,,,0,,,,,35.8,,0.09,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,,,0.4,0,,0.03,0.03,0,,,,,,,,,0.03,,,,3.54,,7.09,1.91,48.92
2018,140500,,,0.7,,,,,,,,,0,,,,,,,0.33,,,,,,,,,,,,,,,,,0.08,0.01,,,,,,,,,,,0.01,,,,,,,0.04,,0.39,,,0.01,0.01,0.02,,,,,,,,,0,,,,,,8.07,0.48,10.15
2018,191700,,,,,,,,,,,,0.04,,,0.11,,1074.09,,1.03,,,,,,,,,,,,,,,,0.06,,0.03,,,,,,0.095,,,,,0.02,,0.03,,0.28,,,,,0.89,0,,22.87,15.55,0,0,,,,,,,,0.14,,,1.41,,,7.22,0.91,1124.775
2018,240600,,,,,,,,,,,,1.37,,,,,51541.27,,1.59,,,,,,,,,,,,,,,,0.04,,0.77,,,,,,,,,,,0.99,,,,,,,,,35.02,0.95,,0.1,0.06,0.14,,,,,,,,,0.26,,,,,,3.45,0,51586.01
2018,401200,,,,,,,,,,,,3.04,,,0,0,137984,,744.41,,,,,,0.68,,,,,,,,,,0,,0.57,,,0.7,,,0.1611,,,0.73,,2.18,,,,,,,,0.48,195.1,0.18,,53.48,49.68,23.59,,,,,,,,,33.58,0,,0,,,38.09,,139130.6511
2018,413500,,,,,,,,,,,,0.03,,,0,,8802.8,,6.29,,,,,,0,,,,,,,,,,,,0.13,,,,,,,,,,,0.17,,,,,,,,0,4.32,0.16,,2.85,2.84,0.02,,,,,,,,,0.05,,,0,,,0.4,,8820.06
2018,415001,,,,,,,0.09,,,,,,,,0.06,,25.02,,0.02,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,0,,,,,,,,,0.02,0,,0,0,0,,,,,,,,,0,,,0.15,,,15.34,0.06,40.96
2018,417200,,,,,,,,0.71,0.08,,,46.87,0,0.02,0.35,0,3056003.71,0.04,221.04,,,0.01,,0.02,0,0,,0.68,,0.01,,0.01,,,1.11,12.81,0.42,0,2.4,1.36,,5.09,0.0261,0,,0.02,0.0046,196.67,,0.14,0.01,1.33,0.12,0.08,0.64,0.03,1248.14,27.48,,113.51,74.22,111.97,0,,,,0.1,,0.07,0.01,3389.33,44.2,,4.88,,,85.08,11.91,3061606.711
2018,419000,,,,,,,,,,,,0.46,,,0.06,,19288.02,,34.64,,,,,,0,,,,,,,,,,0,,0.17,,0.4,0.17,,,0.003,,,0.01,,7.67,,,,,,,0,0,17.04,0.05,0,5.99,1.91,2.25,,,,,,,0,,18.33,,,0,,,1.44,0,19378.613
2018,448000,,,,,,,,,,,,0.66,,0,0.2,0,26575.06,,22.06,,,,,,0.01,,,,,,,,,,0.01,,0.37,,,,,,0.05,,,0.01,,0.69,,,,,,,0.17,0,21.4,0.57,0.33,24.43,19.7,1.31,,,,,,,,,0.47,,,0,,,18.89,,26686.39
2018,451102,,,,,,,0.42,,,,,0,,,0.4,,1352.33,,3.45,,,,,,,,,,,,,,,,,,0.9,,,,,,,0.35,,,,0.06,,,,,,,0,,2.62,0.01,,0.1,0.09,0.05,,,,0,,,,,0.17,,,0.91,,,64.48,0.09,1426.43
2018,451300,,,0,,,,,,,,,0.08,,,,,3187.72,,2.13,,,,,,,,,,0,,,,,,0,,0.08,,,,,,,,,,,0.09,0,,0,0,,,,,2.53,0,,0.06,0.06,,0,,,,,,,0,0,,,0.11,,,15.78,0.12,3208.76
2018,452000,,0.26,0.04,,,,,,,,0.47,,,,0.21,,109231.95,,8.82,,,,0.65,,,,,,,0.11,,0,,0.33,,0.12,0.8,,3.16,,,,0.1611,,,,,9230.95,2.68,,,0.26,,1.72,0.15,,22.34,0.35,,97.7,76.64,0.54,,,,,,,,,11.16,,0.92,5.26,0.61,,53.83,1.86,118754.0511
2018,453004,,,,,,,,,,,,,,,,,137.14,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,7.11,0,,0.19,0.19,,,,,,,,,,0,,,,,,0.2,,146.38
2018,456001,,,,,,,,,,,,,,,,,2919.36,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,,0.18,0.18,0.15,,,,,,,,,0.02,,,,,,39.01,,2963.38
2018,458000,,,,,,,,0.24,,,,1.19,,,0.3,,48642.71,,234.09,,,,,,0.13,,,,,,0.13,,,,0.58,,0.66,,,,,,0.0026,,,0.17,,0.84,,,,,,,,0.08,58.22,0.07,,28.76,14.23,5.6,,,,,0.02,,,,7.48,,,0.19,,,20.19,0.04,49015.9226
2018,461000,,,0.26,0,,,0.25,,,,,16.01,,,0.7,0,49941.01,0,64.53,,,,,,0,,,,,,0.03,,,,1.19,,1.36,,0.18,0.02,,,0.0004,,0.66,,0.0002,5.16,,,,,0.7,,0.25,0,59.66,0.64,,11.91,7.56,2.36,,,0.89,,,,,6.44,3.26,,,1.26,,,128.09,1.71,50256.0906
2018,462100,,,,,,,,,,,,0.68,,,,,25468.86,,1.91,,,,,,,,,,,,,,,,,,0.39,,,,,,0.0001,,,,,0.47,,,,,,,,,20.8,0.04,,3.53,3.31,0.06,,,,,,,,,0.14,,,,,,1.17,,25501.3601
2018,464400,,,,,,,,,,,,0.17,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.28,,,1.28,0.48,0.32,,,,,,,,,9.02,,,,,,0.23,,23.82
2018,488600,,,0.04,,,,,,,,,3.65,,,0.08,,401983.17,0.19,439.55,,0.4,,,,,,,,,,,,,,,0.08,1.5,,27.67,,,,0.0004,,,,,4.99,0,,,,,,,,504.42,0.75,,29.26,23.82,19.76,,,,,,,,13.75,611.47,,,0.65,,,87.87,0.01,403753.0804
